source_id,source_type,relation,properties,target_id,target_type
CID_5282073,Phytochemical,interacts_with,,1576,Target
CID_5282073,Phytochemical,interacts_with,,1588,Target
CID_5282073,Phytochemical,interacts_with,,216,Target
CID_5282073,Phytochemical,interacts_with,,217,Target
CID_5282073,Phytochemical,interacts_with,,2203,Target
CID_5282073,Phytochemical,interacts_with,,240,Target
CID_5282073,Phytochemical,interacts_with,,253430,Target
CID_5282073,Phytochemical,interacts_with,,25797,Target
CID_5282073,Phytochemical,interacts_with,,2717,Target
CID_5282073,Phytochemical,interacts_with,,3028,Target
CID_5282073,Phytochemical,interacts_with,,3248,Target
CID_5282073,Phytochemical,interacts_with,,390245,Target
CID_5282073,Phytochemical,interacts_with,,3932,Target
CID_5282073,Phytochemical,interacts_with,,4128,Target
CID_5282073,Phytochemical,interacts_with,,4129,Target
CID_5282073,Phytochemical,interacts_with,,4353,Target
CID_5282073,Phytochemical,interacts_with,,4759,Target
CID_5282073,Phytochemical,interacts_with,,4780,Target
CID_5282073,Phytochemical,interacts_with,,4985,Target
CID_5282073,Phytochemical,interacts_with,,4986,Target
CID_5282073,Phytochemical,interacts_with,,4988,Target
CID_5282073,Phytochemical,interacts_with,,51447,Target
CID_5282073,Phytochemical,interacts_with,,5163,Target
CID_5282073,Phytochemical,interacts_with,,5465,Target
CID_5282073,Phytochemical,interacts_with,,5467,Target
CID_5282073,Phytochemical,interacts_with,,5468,Target
CID_5282073,Phytochemical,interacts_with,,55775,Target
CID_5282073,Phytochemical,interacts_with,,5594,Target
CID_5282073,Phytochemical,interacts_with,,5770,Target
CID_5282073,Phytochemical,interacts_with,,6606,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_638088,Phytochemical
CID_638088,Phytochemical,interacts_with,,367,Target
CID_638088,Phytochemical,interacts_with,,4780,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_688857,Phytochemical
CID_688857,Phytochemical,interacts_with,,5693,Target
Pterocarpus marsupium,SHD,contains_chemical,part:Wood,CID_5281727,Phytochemical
CID_5281727,Phytochemical,interacts_with,,10013,Target
CID_5281727,Phytochemical,interacts_with,,1543,Target
CID_5281727,Phytochemical,interacts_with,,1545,Target
CID_5281727,Phytochemical,interacts_with,,1588,Target
CID_5281727,Phytochemical,interacts_with,,23435,Target
CID_5281727,Phytochemical,interacts_with,,240,Target
CID_5281727,Phytochemical,interacts_with,,25,Target
CID_5281727,Phytochemical,interacts_with,,2548,Target
CID_5281727,Phytochemical,interacts_with,,2671,Target
CID_5281727,Phytochemical,interacts_with,,2740,Target
CID_5281727,Phytochemical,interacts_with,,390245,Target
CID_5281727,Phytochemical,interacts_with,,406991,Target
CID_5281727,Phytochemical,interacts_with,,4137,Target
CID_5281727,Phytochemical,interacts_with,,4297,Target
CID_5281727,Phytochemical,interacts_with,,4780,Target
CID_5281727,Phytochemical,interacts_with,,4835,Target
CID_5281727,Phytochemical,interacts_with,,4864,Target
